"RouteUID","RouteID","RouteName","SubRouteUID","SubRouteID","SubRouteName","Direction","BusRouteType","DepartureStopName","DestinationStopName","FirstBusTime","LastBusTime","HolidayFirstBusTime","HolidayLastBusTime"
"KEE0353","0353","101","KEE035301","035301","101",0,11,"阿拉寶灣","阿拉寶灣",NA,NA,NA,NA
"KEE0354","0354","102","KEE035401","035401","102",0,11,"阿拉寶灣","阿拉寶灣",NA,NA,NA,NA
"KEE0355","0355","103","KEE035501","035501","103",0,11,"八斗子分站","八斗子車站",NA,NA,NA,NA
"KEE0356","0356","103","KEE035601","035601","103",0,11,"八斗子分站","八斗子車站",NA,NA,NA,NA
"KEE0357","0357","103","KEE035701","035701","103",0,11,"八斗子分站","八斗子分站",NA,NA,NA,NA
"KEE0358","0358","104","KEE035801","035801","104",0,11,"深美國小(消防分隊)","深美國小(消防分隊)",NA,NA,NA,NA
"KEE0359","0359","104","KEE035901","035901","104",0,11,"深美國小(消防分隊)","深美國小(消防分隊)",NA,NA,NA,NA
"KEE0359","0359","104","KEE0359A1","0359A1","104A",0,11,"深美國小(消防分隊)","深美國小(消防分隊)",NA,NA,NA,NA
"KEE0360","0360","104","KEE036001","036001","104",0,11,"深美國小(消防分隊)","深美國小(消防分隊)",NA,NA,NA,NA
"KEE0361","0361","105","KEE036101","036101","105",0,11,"公車總站","公車總站",NA,NA,NA,NA
"KEE0362","0362","107","KEE036201","036201","107",0,11,"八斗子分站","基隆漁會",NA,NA,NA,NA
"KEE0363","0363","107","KEE036301","036301","107",0,11,"八斗子分站","公車總站",NA,NA,NA,NA
"KEE0364","0364","107","KEE036401","036401","107",0,11,"調和街","公車總站",NA,NA,NA,NA
"KEE0365","0365","107","KEE036501","036501","107",0,11,"調和街","調和街",NA,NA,NA,NA
